◇ injecting env (13) from .env.local // tip: ◈ encrypted .env [www.dotenvx.com]
Fetching dirty products from Supabase...
Scanned 1000 rows, 13 dirty so far...
Batch 521/655 — fixed: 13000, skipped: 0
Batch 522/655 — fixed: 13025, skipped: 0
Batch 523/655 — fixed: 13050, skipped: 0
Batch 524/655 — fixed: 13075, skipped: 0
Batch 525/655 — fixed: 13100, skipped: 0
Batch 526/655 — fixed: 13125, skipped: 0
Batch 527/655 — fixed: 13150, skipped: 0
Batch 528/655 — fixed: 13175, skipped: 0
Batch 529/655 — fixed: 13200, skipped: 0
Batch 530/655 — fixed: 13225, skipped: 0
Batch 531/655 — fixed: 13250, skipped: 0
Batch 532/655 — fixed: 13275, skipped: 0
Batch 533/655 — fixed: 13300, skipped: 0
Batch 534/655 — fixed: 13325, skipped: 0
Batch 535/655 — fixed: 13350, skipped: 0
Batch 536/655 — fixed: 13375, skipped: 0
Batch 537/655 — fixed: 13400, skipped: 0
Batch 538/655 — fixed: 13425, skipped: 0
Batch 539/655 — fixed: 13450, skipped: 0
Batch 540/655 — fixed: 13475, skipped: 0
Batch 541/655 — fixed: 13500, skipped: 0
Batch 542/655 — fixed: 13525, skipped: 0
Batch 543/655 — fixed: 13550, skipped: 0
Batch 544/655 — fixed: 13575, skipped: 0
Batch 545/655 — fixed: 13600, skipped: 0
Batch 546/655 — fixed: 13625, skipped: 0
Batch 547/655 — fixed: 13650, skipped: 0
Batch 548/655 — fixed: 13675, skipped: 0
Batch 549/655 — fixed: 13700, skipped: 0
Batch 550/655 — fixed: 13725, skipped: 0
Batch 551/655 — fixed: 13750, skipped: 0
Batch 552/655 — fixed: 13775, skipped: 0
Batch 553/655 — fixed: 13800, skipped: 0
Batch 554/655 — fixed: 13825, skipped: 0
Batch 555/655 — fixed: 13850, skipped: 0
